,PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
68,14,FELONY DANGEROUS WEAPONS (2)        ,21.0,20.0,28.0,17.0,9.0,26.0,63.0,81.0,109.0,67.0,74.0,46.0,23.0,44.0,61.0,56.0
69,14,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,208.0,162.0,250.0,84.0,122.0,123.0,119.0,95.0,112.0,124.0,102.0,124.0,144.0,167.0,132.0,136.0
70,14,OTHER FELONIES (4),112.0,130.0,128.0,187.0,137.0,110.0,140.0,126.0,142.0,111.0,118.0,119.0,118.0,113.0,120.0,85.0
71,14,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,1538.0,1164.0,1410.0,1157.0,1271.0,1356.0,1412.0,1154.0,1023.0,825.0,945.0,811.0,893.0,1004.0,1108.0,1036.0
72,17,FELONY POSSESSION STOLEN PROPERTY            ,15.0,4.0,9.0,8.0,4.0,4.0,7.0,7.0,6.0,2.0,1.0,5.0,3.0,3.0,5.0,1.0
73,17,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,53.0,31.0,31.0,70.0,111.0,123.0,150.0,100.0,144.0,120.0,122.0,115.0,76.0,104.0,96.0,124.0
74,17,ARSON                                 ,6.0,3.0,6.0,0.0,1.0,3.0,0.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0
75,17,FELONY SEX CRIMES (3),1.0,6.0,3.0,5.0,5.0,7.0,4.0,2.0,3.0,4.0,4.0,9.0,10.0,9.0,25.0,10.0
76,17,FELONY DANGEROUS DRUGS  (1),41.0,15.0,46.0,28.0,63.0,47.0,25.0,21.0,25.0,25.0,26.0,20.0,36.0,20.0,19.0,22.0
77,17,FELONY DANGEROUS WEAPONS (2)        ,2.0,0.0,6.0,1.0,1.0,5.0,2.0,8.0,7.0,6.0,8.0,3.0,3.0,2.0,9.0,9.0
78,17,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,84.0,113.0,129.0,51.0,71.0,82.0,70.0,48.0,63.0,58.0,38.0,38.0,31.0,38.0,42.0,70.0
79,17,OTHER FELONIES (4),37.0,38.0,45.0,120.0,73.0,54.0,58.0,81.0,32.0,42.0,52.0,28.0,44.0,37.0,26.0,34.0
80,17,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,239.0,210.0,275.0,283.0,329.0,325.0,316.0,270.0,282.0,259.0,253.0,219.0,205.0,215.0,224.0,270.0
81,18,FELONY POSSESSION STOLEN PROPERTY            ,27.0,26.0,13.0,19.0,10.0,16.0,24.0,13.0,14.0,16.0,16.0,9.0,14.0,16.0,24.0,14.0
82,18,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,142.0,143.0,111.0,154.0,138.0,180.0,171.0,190.0,229.0,207.0,214.0,180.0,229.0,241.0,227.0,212.0
83,18,ARSON                                 ,15.0,13.0,6.0,3.0,4.0,6.0,10.0,1.0,10.0,10.0,4.0,7.0,3.0,6.0,1.0,10.0
84,18,FELONY SEX CRIMES (3),18.0,12.0,18.0,23.0,10.0,8.0,13.0,10.0,11.0,6.0,17.0,23.0,14.0,19.0,20.0,22.0
